gene	delta	alpha	gamma	ductal	acinar	beta	PSC
SGIP1	0.0167942281028845	0.0590121612141219	1.45820574683678	0.0531349645874898	0.026428340003524	1.05301825968271	3.07653833937961
AZIN2	0.541399039679633	0.960584082142697	0.662683838463356	0.735012166998275	0.221875758906282	1.37182858121618	2.48419598098684
CLIC4	0.980487366284904	0.970967596414858	1.23655867045663	4.91510337966432	4.5321503356957	0.976263145731172	7.79430612366003
AGBL4	1.50853080042012	0.449400007324579	0.648635861558592	0.0928946811772763	0.0535372615577098	0.959189477093372	0
NECAP2	1.47382756189891	2.22036945551795	2.10003988151882	5.43198459663085	4.62445009199247	2.87299945252057	4.07055066270374
SLC45A1	0.700985628816468	0.7557619132458	0.781387945535504	0.366380640197227	0.0326040900098758	1.04426264062381	0.706025691810304
TGFBR3	4.04121577044806	0.0538973849406326	0.0673582044906929	0.789887002190479	1.50155721930598	4.74664509125614	2.02504304774284
DBT	1.38975670385123	1.4897783996879	1.7942398695719	2.75548466284005	2.42029307355387	1.76583360953518	1.63754858759917
RFWD2	1.96054441259611	2.229381251038	2.06443860985691	4.42711758699919	3.81816582629716	2.43329326743623	3.41318463249674
C1orf21	0.250959126398274	2.79123647235666	1.51224276331544	1.32636627919264	3.39322713399557	0.0517772730138515	3.53821134142897
PRUNE	3.43070186422116	4.8069004140857	4.09374862998796	3.13580960279411	2.6737418102012	4.6306016797283	2.393620513852
LIN9	0.192455492344608	0.221724120361378	0.094475485965564	0.740446830850405	0.705777128959196	0.287084547277001	0.834502899901193
PRKCZ	1.19671389779703	1.03944101860906	1.03857873922028	2.23085222132793	1.34704606290522	1.07212411717758	0.88454498584043
PRDM16	1.2528656346771	0.629267249491184	0.260445360306187	3.56430472923685	1.96113111163128	0.608398888258099	0.203196648363418
C1orf159	0.453434349585443	0.784175533001442	0.54855792676318	2.06838137853557	1.44135325249534	0.635023524633778	1.49270625757218
CAMTA1	4.19984015650776	5.62165867654577	4.85148592601175	5.72871950139629	5.65092322561098	4.1001278373571	5.77558624025214
ICMT	3.72785064374126	4.07843601640878	4.41051243246378	5.02915142471432	4.73777089499542	3.69853627523651	5.08817581316274
EPHB2	0.475412993803755	0.812517225276086	0.548662771699875	4.46074175181919	0.647155889092267	0.371071618335059	1.61287337726622
PINK1	2.18819845697668	2.39883709106309	2.39906477999245	4.35126447862825	3.9945550482613	3.21681219919072	3.47076032507318
USP48	3.47828793728149	3.24647771146368	3.55046511244291	4.286124022304	3.63864062006596	3.78192263799748	3.62798531018756
PINK1-AS	0.742885252806744	0.80840394214876	0.873359669547063	1.37721360429059	1.31541516947807	1.01513648071614	1.10804432672982
EPB41	1.62957413809122	1.92961326665661	2.34645354509114	2.26575528469837	3.3963625383248	2.24008959498733	0.162963542101101
KHDRBS1	4.69631556110882	5.12325449074636	5.05627069331999	6.3780866503194	5.79583608146709	5.00052076979107	5.75292725622733
EYA3	3.86897999408454	3.678452340028	3.18461562574333	3.62567455640297	2.64661369188412	3.10100410801286	3.73164396407289
NUDC	6.28459404442401	6.5158381736319	5.5929657728454	7.16180337873057	7.19371408809602	7.07494560230641	6.70639049634043
PUM1	5.99923717897957	5.31575159253875	5.94724615961885	6.11705156851341	5.5221068817738	4.80797603766456	5.16142982297023
STMN1	7.47255593661007	7.3442280001731	6.79032276846875	5.57248476047348	4.78293980155779	5.04080720933808	3.36742699909369
THRAP3	6.74214801566967	6.50268254204084	6.38477535606786	7.16995566744284	6.88150064271046	7.15012632971546	7.4080194380256
SFPQ	4.940539239315	4.47063698919745	5.11257274732051	5.8572272707834	5.1917001188659	3.95757078464682	4.96033075109151
MACF1	5.67525268542526	5.91277962332728	6.0552634839404	6.86894232654983	5.94457422214654	4.99190310028013	5.13945612491187
PTPRF	5.61729643983552	5.31491220951469	6.78515845848365	8.10669182846096	7.66738958648637	4.93052703381435	0.494141178869603
GPBP1L1	4.23371975933764	4.35722972931547	4.15627370754075	5.88141433874194	5.54227692968084	4.57930475260666	4.71667448773278
RNF220	3.3136803088465	3.00258336866227	2.98557505549706	3.82851279629599	3.8394510860827	3.1428971833137	3.85937238950116
TCEANC2	0.939193972514106	0.714393301568292	0.788107659044787	1.42644453678761	1.3443800053036	0.846702299454883	0.785534943781569
SCP2	7.09474801104222	7.60765208809706	7.61087110551424	7.76173437791497	7.23795874423403	6.9710338411083	6.30973635040573
RAB3B	6.89451014944839	8.51090432108515	8.22821044169718	1.08107813555156	2.12500591134605	8.69371377705325	0.616977939168175
USP24	3.29111596247947	2.56681566896653	3.44677896759424	3.21686763026428	3.23225178447101	1.85619375710675	1.86783149787051
FAF1	1.82410612088028	2.48384640847879	2.21646255756807	3.26262835083534	3.015370173737	2.61314096387427	3.38181510006999
FGGY	1.71912829262299	1.6661723321454	1.1541327241791	4.10567191981964	2.4428917612984	1.51254382267687	1.04159382504331
NFIA	2.13974758859502	1.84566386136621	2.57922969955931	5.77512398632118	4.94016213596247	2.71469269848266	3.29334090255672
USP1	2.95313736520467	2.95061734795427	3.49661039368445	3.17780895967064	2.92154489694856	4.21758088604787	3.38121630160709
CACHD1	0.653064447325263	0.0267170041030316	0.270445845163754	0.738365744845605	0.687293985125642	0.147781226362573	0.963125704124868
LEPR	8.38036581001405	0.767764273061075	0.445322887306797	1.25625879265774	0.37047079516934	0.859153572411927	0.863861276465875
ITGB3BP	1.58833571608312	1.82518765477772	1.43479713146973	2.41466690750452	1.94884916664089	2.08007227455011	1.90020583082925
NEGR1	2.2938586091523	0.565386413481844	1.8734099164259	0.318288983105283	0.0517606011050709	1.31759136431138	1.01771575457808
PIGK	3.89944865473063	4.29744707958838	3.38013660258681	3.3605649383106	3.74475472446284	4.09921007045908	4.18376607284827
DDAH1	2.7598222418811	3.66935465693382	2.46765415335801	6.15455527779602	5.60063675772308	2.97017588551962	2.17168084616986
FAM69A	0.566681230250457	0.658059855643863	1.20389528936396	1.2898347465381	2.59743076004967	0.855502080171873	1.39246556915675
GCLM	5.5170401432873	5.15070687933346	4.03204181686405	5.59173183224924	3.62268556727948	4.91570609875896	4.40029962688768
