gene	acinar	alpha	beta	delta	ductal	mesenchymal
A1BG	0.385742653149804	2.47929660795358	2.77165702938288	2.20825315358857	0.0169073798210603	1.32020498428836
A1BG-AS1	0	0.296707997141608	0.193253206893423	0.209435540852485	0	0
A1CF	1.44580587914408	3.54021792273447	1.60332465625954	2.68262189284365	0.02280798724127	0
AAAS	0.772340092319987	1.20947683132197	1.24530665796432	1.02440759101208	1.50220197751015	0.270228924141049
AACS	0.845978102928245	2.33849840941732	2.25284241212112	1.49034295053339	1.92963410775977	0.706146703535945
AADAC	3.73816468304474	0.00772519836008501	0.00632128248111536	0	0.0377510764104597	0.144130903727744
AAGAB	1.17327686441503	1.99947473722013	1.84084322977962	1.46439154820516	3.3522023980393	0.653946411333602
AAK1	2.20223727528668	4.55659395346437	3.63252719610477	3.6886361793658	2.97769473150053	1.77695433009506
AAMP	1.75790611507368	2.49659467429943	2.30195828879137	1.848490567853	4.39165390895668	3.55577840203068
AARS	1.96449307938726	1.85964333282061	2.46339457211963	2.21585751569017	2.43281620430956	0.592708699377822
AARS2	0.240341106679717	0.442448799252479	0.506148742924907	0.504156227382731	0.608939530246403	0.0763972975031352
AARSD1	1.64879450412845	1.80960146455101	2.29753335878035	1.58989994736628	1.55564720064269	0.787989287324823
AASDH	0.59917987283972	1.20780415007178	1.5955451875155	1.20283336833145	0.786110727528585	0.134361719033736
AASDHPPT	2.60097866150578	2.53991300192571	3.02097028548427	2.89410070797265	2.70892817677954	2.15168932390501
AASS	1.63157132342245	0.145919590182612	0.606864056668102	0.587334017626566	0.553008702645415	2.51463857948908
AATF	1.64147185908406	1.59328507409878	1.09323695256896	0.760601633543166	2.25247639678861	1.19527918143734
ABAT	1.46415283916918	1.36118663889467	2.58448289477528	2.09170906531825	0.370724396440122	0.318485204187604
ABCA1	0.939297301159775	0.982795099972397	0.569756392700807	0.352795105368465	0.286072551079624	2.90716567775029
ABCA11P	0.471428157940112	1.16011055063167	1.18933499319413	1.18681440991782	0.872003630587892	0.402535921291342
ABCA2	0.271275572082687	2.20681165117708	2.18591688750777	1.32273709509518	0.708695227378377	0.662034285375893
ABCA3	0.642673090757811	1.06496930296028	2.37683640154772	0.8264285133346	0.846361920982543	0
ABCA5	2.54238629571579	3.2301089728593	4.54107490232982	4.28631103344685	1.8441837529337	0.670246449190159
ABCA7	0.228219643442314	0.680394660268849	0.76533865852019	0.780862813284028	0.200647953783205	0.119311669160197
ABCB1	0.256645203636938	3.16054900224941	1.40748820927571	0.92950072090209	1.48079093307189	0
ABCB10	0.514063776570877	0.773065770353891	0.208094684535349	0.883125751327112	0.270672018696652	0.0870357776510977
ABCB6	0.138198461425532	0.613950965878397	1.14218835461044	1.11584962255519	0.937488541632707	0.587249201348999
ABCB7	0.872029784905908	1.07593101768035	1.05567419031429	0.543454066981604	0.935882584172498	0.876566181191521
ABCB8	0.377010959385489	0.621806498433571	0.715909281577388	0.260513673607799	0.945880254546729	0.304469427168605
ABCB9	0.0485870776950787	0.471613098422569	0.25198740596583	0	0.475733888595328	0
ABCC1	0.644609597380361	0.889087554662649	0.369306440789492	0.389215712392056	1.60956382211725	0.921857287495838
ABCC10	0.627432855972721	0.781226786255377	0.507358220395539	0.323354379296354	0.837787766743746	0
ABCC3	1.23431292487886	0.0895370405472966	0.0170427589685454	0	5.82887965590072	0.240809056556427
ABCC4	0.395298318617775	0.577622001484969	0.167750346432257	0.187249772873285	0.850598440876855	0.901262737226445
ABCC5	0.34602102293874	1.30738117445931	1.9069070283272	2.56448824632989	0.698324089990079	0.21309198750147
ABCC6	0.73269754005284	0.459948599997195	0.267971915068611	0.306931832169271	0.357968530876688	0
ABCC8	0.0710397979488236	6.88540187876847	9.2677205093565	5.52611340082871	0.0113572208659831	0
ABCC9	0.137174393881715	0.762211338848799	0.940856592873571	3.10455001441027	0.0119674058396454	1.3198426095763
ABCD1	0.363685529333384	0.256930536347095	0.310852261470089	0.0796026122493667	0.358072784996037	0
ABCD3	2.41117709556871	3.3397105017347	2.47432405902888	2.86326910818762	3.30411510032973	0.800240797387367
ABCD4	0.513652606904215	0.705225104092744	0.606882037861939	1.06326421172634	1.25967696488527	0.385418039650666
ABCE1	3.87222335218693	2.84235003678908	2.20830567556511	1.84441704253801	3.09402628744846	2.65865605202487
ABCF1	3.10387503039111	3.18302387862015	2.32216555390021	2.72986169706277	4.32735946279562	2.98078755886925
ABCF2	0.955737549700191	1.04443207633753	0.72936602004691	0.41445401046724	1.97322589872402	2.10604131256813
ABCF3	1.2901019920708	1.64835644095511	1.24394880429195	0.696836111365375	1.63762641180678	1.13899632281474
ABCG1	0.0157623683867728	1.53322648409522	1.35659070519341	0.843400406947893	0.0922550823588852	0.254739536882415
ABHD10	1.25753826325239	1.8051182195916	2.95552487389287	1.24601957854499	0.836707988983861	0.412249139387392
ABHD11	1.05966879002158	0.832231662615434	0.81030711191974	0.472463229151189	2.99521056684757	0.260368591519311
ABHD12	2.64478871252501	3.73468480414078	2.29295485574805	2.12901837599579	4.41634907931582	0.586252060844455
ABHD13	1.75588434296149	2.70256560029697	2.73256214909413	2.05860347094646	2.62928938924145	0.871317455524897
ABHD14A	0.821621755340091	4.08390363718614	2.64283450388701	3.00543489377317	1.10032811985774	0.969274121421822
ABHD14B	2.4402876386125	2.31113938678722	1.40152388721392	1.00121620975434	1.69387080971129	1.55444012530812
ABHD15	0.424725730738049	2.37096795170749	1.05763921735713	0.273504677249928	0.304847467854862	0
ABHD16A	0.925575490735157	2.59816962212765	3.36910240871259	2.93212862633047	1.88340972615699	0.602281549792564
ABHD2	5.48291579978984	4.61323366088918	4.76639732101551	4.69946081319267	5.38812810580227	2.00733894242598
ABHD3	0.899858994615039	1.69671465645925	2.05429381555591	1.98807228443444	4.82428976428552	0.663311987887859
ABHD4	0.722907453355735	0.62255928481342	0.930586589932747	0.83135441212565	5.07859027394068	0.804848426466838
