gene	alpha	beta	delta	PP
A1BG	1.2017936972574	1.07491323094046	0.795922905845611	1.54711539351256
A2M	0.0513219329523066	0.0232802502585509	0.0364227763097554	0.00760810557987839
NAT1	0.498815940088333	0.193590631502329	0.339685751058003	0.339708391567873
SERPINA3	0.395215812336923	0.28151625915092	0.45661930291732	0.371977863995573
AAMP	1.37697077046103	1.45952621603992	1.78796992927209	1.36669201375266
AARS	2.3173174192205	2.91462511725885	2.68401765666805	2.23501375328695
ABAT	1.36271772634165	2.11169406237148	1.69230528397459	1.85213236031768
ABCA1	0.866067968832343	0.778288182448386	0.367659577636733	0.562967766935831
ABCA2	0.0989029927874835	0.139223902235013	0.0858959170135661	0.19708891393081
ABCA3	0.309297604699829	1.13968691522477	0.173604383256731	0.609132494121301
ABCB7	1.25801209772433	1.19618068510148	1.30295409261203	1.00955421283903
ABCF1	2.45208434460106	2.4535290981752	2.94426978672806	2.73221484615022
ABL1	0.420790118552953	0.387919228882885	0.533061831511911	0.460056025125889
ABL2	0.584946750638051	0.611532215738469	0.718731976774659	0.975877565725826
ABR	0.881932726887052	1.44397158943928	0.767067979264736	0.671840073702598
ACAA1	0.53789596034107	0.591272921057338	0.732343358746751	0.681355096073366
ACACA	0.912134977421991	1.23850097945123	0.838571816810976	0.611395349020787
ACACB	0.407853839228922	0.673982171579358	0.644702850091413	0.36482619763582
ACADM	2.1543866966676	3.01440585044424	2.71686617399758	2.2018038394398
ACADS	0.117351122374085	0.13873140702285	0.16351937396857	0.193667225553371
ACADSB	0.6744435452552	1.46329892186011	1.16990461992635	0.715157766034316
ACADVL	2.86131533157111	2.12283083012283	2.47405385792209	2.82364352277345
ACAT1	3.863364044284	5.3146779354705	3.78974533479008	3.51857208036124
ACAT2	2.24780276616452	1.54290633905489	1.24831657260707	1.3106837653381
ACLY	4.90838416918902	5.49349269022422	3.14878303493394	4.96575012208139
ACO1	0.602500119137815	0.933144222798291	1.05937801002949	0.950788536770621
ACO2	1.58316093242485	1.33533831902534	1.44602763502453	1.26190088548524
ACOX1	1.95383217821197	2.12951078855712	2.0859218079408	1.94327928319358
ACP1	4.58568243320778	4.66771411085466	4.37118692434353	4.78945091848414
ACP2	0.565398594547037	0.405947239710783	0.632056185287517	0.387229280276063
ACPP	0.026833450303715	0.53793525648603	0.0106499167394113	0.00338758868993552
ACTB	8.63256865613252	9.06387312142104	8.89228478659208	8.96338577306866
ACTBP2	0.620336787222644	0.638108931222103	1.04481481478252	1.68063556476428
ACTBP8	0.0539095265216193	0.0643959533858495	0.0670191586961949	0.0642795094656166
ACTBP9	0.0449858435661801	0.0737301315731725	0.0505855328979912	0.0875685057351726
ACTC1	0.202680732839892	0.379835382611782	0.321590259899356	0.343070663676667
ACTG1	7.29888552879464	8.02101172880064	8.44239305939368	8.75288331266199
ACTG1P1	0.208611054809616	0.175971807725722	0.229273154989375	0.309591336315258
ACTG1P2	0.0547143335503189	0.0858711758888848	0.107499631071768	0.212640723464658
ACTN4	1.93949080605723	2.23304291373351	2.11354832081053	2.30201372054356
ACTG1P9	0.054916913213417	0.066668382133358	0.0746671025991117	0.109421915465031
ACTG1P10	0.257364093565147	0.261376631505731	0.198967206668938	0.324231530208869
ACTL6A	1.31861195261626	1.56909754274577	1.61151659634112	1.74794140660721
ACTN1	1.84241659618783	0.973800032872497	1.52415049318834	2.11195052429455
ACVR1	0.982295319273942	0.942199239680261	1.25997228156725	1.39577600783233
ACVR1B	0.0897860002974344	0.924793593914784	1.22848959581082	0.62831344492912
ACVR2A	1.23228179194552	1.92805431956653	1.6582714909764	1.16551225790645
ACVR2B	0.292095414793843	0.308172228065574	0.259705606463572	0.31496707517682
ACY1	0.287429478301936	0.356778588889602	0.417788133668175	0.221583530134051
ACYP1	2.21752320593736	1.59014815661343	2.12763060131534	1.15534897507095
ACYP2	1.94467674051022	1.81325396312392	2.26722230190509	1.83079153497387
ADAM10	3.60610672562708	3.52765728979145	3.0249495724961	2.8624620127215
ADAR	3.20487623402645	3.98055727281075	4.05454333911769	3.54225657347677
ADCY1	1.15062738439011	0.654988743817269	0.0387188752777191	0.400390961870858
ADCY2	0.262025128369455	0.00252224054515133	0.0466827720442645	0.00480210863184027
ADCY3	0.117079499880048	0.10651621828335	0.172699367494691	0.0393832017336265
ADCY5	0.167546190754957	0.0343086924860897	0.306225231544549	0.039720246052393
ADCY6	0.236193820908335	0.160461545585346	0.141933813372796	0.480632496094903
ADCY7	0.602433006556815	0.176734741577171	0.0640017483316953	0.0972106084428423
ADCY9	0.237438428524506	0.117060095667631	0.165673211846677	0.0667409249471734
ADCYAP1	0.132363616505197	6.17646251217809	0.294270899662279	1.22533421007677
ADD1	1.92274493911434	1.94404668476466	1.89484351745217	1.84438373787933
ADD3	1.63311009475622	1.2232599475107	2.20644950940841	2.14891960939035
PLIN2	2.0794956760732	0.993278955911835	0.189805835176236	1.55130043426872
ADH1C	0.0346980211089989	0.0563632016191308	0.105059089950045	0.119715749520138
ADH5	1.87746786136035	2.96347400052443	2.51957866575475	1.78804504748712
ADK	2.23784027932904	2.51107021412739	2.49891534897455	1.71645243114852
ADM	0.372674114791836	0.755422370139094	0.561555630567433	0.35170530001823
ADORA2A	0.795846890719572	0.0791087467055158	0.0537507511540806	0.0475871873391071
PARP1	2.66689232696157	2.61534223261721	2.61422832254219	2.79962319687264
PARP4	0.920770065354668	1.03739150915297	1.1896355222379	1.40580637576318
PARP1P2	0.0967034984345605	0.0775084397349887	0.172543629069565	0.215431174766539
ADRA2A	0.00589752950197066	1.1609362464118	0.250234107545589	0.00603917366057391
ADRB1	1.22952612064423	0.0551683732182699	0.107477173282231	0.0268134076284247
ADRBK1	0.117088226172488	0.1306761567242	0.065499477757286	0.182250888309426
ADRBK2	1.70631557386303	1.44404131231579	1.07949722035352	1.49215893872837
ADSL	1.81890021131381	1.80214580025634	1.68030416366313	1.31536432253248
ADSS	0.630203323293956	0.985436060971646	1.08256347295705	0.871078439605765
AP2A1	0.594366018697912	0.499727833934136	0.516271653979657	0.402504589693988
AP2A2	0.525733802083156	0.566654792565965	0.872719824353872	0.551214261959772
AP1B1	1.09432320697682	0.893458774789008	0.92231961523317	1.40353050529888
AP2B1	1.40260461739494	1.95058075799899	1.5587405456308	1.72123996573806
AP1G1	2.77970430142418	3.10306827028172	2.43986822505622	2.12984137921809
AES	4.58334086394684	5.71234680152623	4.86082410526806	5.53165797318031
AFG3L1P	0.350744491002272	0.31759823423296	0.400313185579004	0.143156461839195
AGA	2.16861504046992	1.51234818669556	1.27134191531282	2.09609059754238
AGL	0.903990597964258	0.935896244745144	0.863221445463825	0.915063280260079
JAG1	0.0965628689038203	0.0341529891894041	0.0742210006838987	0.252651199151019
AGT	1.59016702061654	0.780393764024861	0.402360070287096	0.706880490673631
NR0B1	0.943269089934521	1.2915380992109	1.91638733906213	2.07476953956386
AHCY	1.18605465358662	1.3469449670101	0.989681702767835	1.02977779466737
AHR	0.105625313422282	0.893064516946097	0.593974611670892	2.06758205775954
AK1	1.56666068352359	1.22931806963199	1.37287075321539	1.36863373796837
AK2	2.92970550581788	2.49628478208634	1.82442191277058	1.90976567368407
AK4	0.107489171692602	0.46712481389401	0.247579019493083	1.26622914531803
AK4P1	0.0385833474734306	0.0878675929021635	0.195561324658285	0.266861061188615
AKT1	0.459585699747272	0.73620195641296	0.463024833865165	0.551776275495825
AKT2	0.16092740564598	0.263621211580817	0.230822251133498	0.267424158251749
ALAD	0.680704653036586	0.800884678711364	0.752042273081514	0.517923370739884
ALAS1	2.08820945792993	1.35749686114764	1.61864570247927	2.71270860320956
ALB	0.11239013114895	0.0893337295329469	0.446897676243466	0.0755622054827835
ALCAM	3.44883395079982	5.02386933844707	4.18352720243057	3.92755758010385
ALDH1A1	9.81227588421371	6.70745756256276	5.24914555136821	8.978842205447
ALDH2	1.49074597683	0.897435455108266	1.18285152305128	1.92659402553699
ALDH1B1	1.6856071400238	0.580783926994009	0.85629911654525	0.171655935486488
ALDH1A3	0.0281011285925713	0.0251937063678006	0.0121587803686167	0.0133384805266998
ALDH3B1	0.128214029827438	0.0144184331502974	0	0.138355892477983
ALDH9A1	2.75456634627969	3.44106462025044	2.7910250169679	3.29829147074244
ALDH3A2	0.800626862788227	1.01753552438427	1.07657513781304	1.01962946741064
ALDOA	6.30130069328416	7.40291407537036	6.46572543799418	5.8699308095714
ALDOC	1.09941529616179	1.904610390455	0.391341260363398	0.315558634859892
AKR1B1	2.90127869354409	2.98081932385202	2.81508041699622	3.04986767734516
ALOX5	0.206348927693211	1.27490310222806	0.28924298319667	0.0661031275086475
ALOX12P2	0.25262330384809	0.258725994457817	0.175912542685562	0.267114635119945
AMBP	0.30658048929557	0.0422837041887094	0.31801837015965	0.382440487684978
AMD1	1.96220093056845	1.95308698691538	1.56986960296143	2.081721097455
AMFR	2.1975589371307	2.77752058447602	2.982307136122	2.45010073761885
AMPD2	1.15703061576044	1.53909978974475	1.93961590086374	1.43580776725688
AMPD3	0.166920395261269	0.180001999174773	0.246782668870662	0.359610343820406
AMPH	0.246223833382929	0.628653480434264	1.09621944035608	0.494308671735945
BIN1	0.197260381458591	0.216439236742772	0.363607586009587	0.237614640104
AMT	0.367627125715766	0.59084705491003	0.393394601627154	0.26924756833087
AMY1A	0.0526084162132065	0.026802702838995	0.0401947780324627	0.023060536560069
AMY1B	0.0588919709587732	0.0394144921614419	0.0633151444431196	0.04893476206314
AMY1C	0.0510542899008288	0.0266799982555855	0.0395731230856282	0.0178753781105443
AMY2A	0.0499047654619305	0.0404572688934307	0.0623094980053567	0.0390187609386904
AMY2B	0.483865486736717	0.409094648004078	0.646250938522825	0.311627990517857
ANG	1.12893536007658	0.0760039040482454	0.321349258737979	0.666915583281632
ANGPT2	0.0482331725808682	0.0549680693397854	0.0630082416103782	0.130666350669534
ANK1	0.0179064682751003	0.108068146251518	0.701246063192138	0.106605529458093
ANK2	1.13875263880491	0.341206627444641	0.429397125932592	0.19037339681556
ANK3	0.0439329415824583	0.170548843753848	0.870193957050278	0.843781965304602
ANPEP	0.0345066821926796	0.041791736721966	0.0208360026778002	0.0302671202397038
SLC25A4	2.30260735941484	2.42168779458378	2.41170287961826	2.77605436558351
SLC25A5	7.03277718351424	6.0996539605364	7.30049218895987	4.66022743173071
SLC25A6	4.15042648804055	4.92115221298144	4.43079436473396	4.25065972569751
ANXA1	0.0596571225276209	0.074388594391248	0.23709620558227	0.0334644453000579
ANXA2	4.98458779128187	4.50297719767169	2.10149533758635	2.04881256083235
ANXA2P1	0.0777337611637395	0.0466731843682142	0.0259223015246667	0.0449877710236261
ANXA2P2	0.880105086432022	0.960619608628306	0.559133658017469	0.372178664250374
ANXA2P3	0.0529227392082906	0.0521497691265778	0.0262987894416117	0.0192633603435019
ANXA3	0.239064460057764	0.484124562888343	0.0726729354824959	0.0504988952019763
ANXA4	2.68403286745294	0.911890512803754	0.927866350704104	2.36663027237675
ANXA5	5.99034402707859	6.90114971180105	6.63201253737462	6.95882635839834
ANXA6	0.900291281044485	0.700846015974865	0.9528926805749	1.01632714171511
ANXA7	6.54079510840713	6.67960697804776	6.03805784067077	5.98111606237783
ANXA11	1.91256343787859	1.26502094737352	1.37040521002588	1.64358051110282
AOX1	1.26632671889425	0.044346992359691	0.549306234344128	1.11501640918456
APAF1	0.294011269709285	0.308087721611317	0.144853000559148	0.293892885660147
NUDT2	1.03559052935387	1.20909594815968	1.4067708273454	1.33137567528386
APBA1	0.118278980578503	0.592101329671434	0.0976487089348146	0.502219498800917
APBB1	1.28143002656791	0.95420709283501	0.929004633412575	1.20141140145426
APBB2	0.569396089864502	0.696302667911515	0.383192443280771	0.48692135339316
APC	1.63794793532176	2.3752026481782	1.84034966788228	1.92569442211881
APEH	1.45126767691651	1.27262851780983	2.17813555517595	1.24874610795804
APEX1	2.26619268103728	2.68016520340516	2.59685834200389	2.18491456196312
BIRC2	1.99617580043513	1.65541807858157	1.64690628924855	1.71144524188803
BIRC3	0.412059492399818	0.138120609151295	0.282512262059111	0.625341800984732
XIAP	1.7560187105806	2.13564539062955	1.89186269033562	1.87169191102693
APLP1	3.35926378048097	2.62377641723497	2.96402187738624	4.4958357696129
APLP2	4.04876855913889	5.32828573226597	4.95828589130414	5.08490822202536
APOH	3.47113151234841	0.0836635557947289	0.447187906961139	2.46609630556149
APP	2.39745257670228	2.4771700750219	3.52812400630874	3.08552459258874
APRT	3.90301470663904	3.51667873568001	3.69391628173498	3.36052477872675
SHROOM2	0.299857965879883	0.277738972220921	0.0210879819689373	0.124784850478393
AQP1	0.0249008287347016	0.0292671012213951	0.103240270440076	0.0447144264158918
AQP3	0.279969022480781	0.262084420554382	1.09352221484605	3.63679185967997
AQP4	0.233086578653153	0.0948323320311509	0	0.0874898912803051
AQP7	0.333089089133613	0.0329912708875995	0.188136167565872	0.150708640111878
AR	0.110417231904068	0.023513087143555	0	0.00151554447823687
ABCC6	0.292469606336829	0.104026230407174	0.277405315861652	0.153282118720801
ARAF	0.897650774344404	0.812718888142172	1.06368696954017	1.0366215131107
ARCN1	3.09737563925265	3.34939213165654	2.96728808289264	3.30652923268857
TRIM23	0.931332945833832	1.48178972983294	1.25912130499684	1.22229409050432
ARF1	5.68406447352164	5.56498892904365	5.87666609361527	5.2481882400832
ARF3	1.87491118089773	1.6545397182933	2.13999547269613	2.70510272453334
ARF4	4.85586936716116	5.34842527883278	4.54882333418247	5.05043732910894
ARL4D	0.196010754141647	0.594838663442491	0.221363196567352	0.0964876113888631
ARF4P1	0.201778913776974	0.187171560822255	0.23502117667673	0.298496484016637
ARF5	2.76519579996893	2.96476619650553	3.58240865733896	2.98975488205977
ARF6	3.64024801963164	4.65772601407709	3.36510028001219	3.33904358895838
ARG2	1.990491195383	2.76655675971228	2.6164375878609	2.08345428279346
RHOA	7.25755587758269	6.78348232484286	6.78348110983881	7.22789522088133
RHOB	3.11357003126991	1.65622827298952	2.78978590510177	3.83129416163721
RHOC	1.00761742536954	0.12641589932492	1.7188933419393	0.846018315145839
RND3	0.532716284859471	0.102609242006684	0.443366139960416	0.97975659085767
RHOG	0.77773159867814	0.767832950527587	0.531717370666708	0.649727518636188
ARHGAP1	5.6232015885913	4.96506620112243	5.21578220116659	4.48818153380931
ARHGAP5	2.92775327059599	3.39251845818534	3.86052060919288	3.39247659283756
ARHGDIA	0.988757304679973	1.09094583699736	0.97156846068229	1.45278444964821
ARHGDIB	0.116873370704558	0.121002246974804	0.170276685808279	0.0187901448471569
ARL1	4.16700954877986	4.47758921270928	3.5592082254153	3.8852980314352
ARL2	3.58674784412422	3.81243694002177	3.85190768734959	3.115377667192
ARL3	2.85996975562812	2.76301189025877	2.96591217563687	2.9973075858406
ARNT	1.87148678230591	2.64675910898601	2.39623733025427	2.2261063759275
ARNTL	0.349053653431114	0.523202666561622	1.02352825470529	0.337288328192012
ARRB1	0.376906637878767	0.0631211362597004	0.0612474804898573	0.21647436430373
ARRB2	0.18221224729803	0.26705449956131	0.152507926525991	0.117519430595201
ARSA	0.742866536266383	0.413265409947612	0.366155871959042	0.807654793292823
ARSB	0.650772844473717	0.784215146516355	0.237915466647255	0.442030080603102
STS	0.140132710068554	0.0692023778856888	0.00193972907157225	0.10263227454919
ARSD	0.962381701176261	0.561862477545569	1.34521844498316	0.978791646974867
ARSE	0.291957329174805	0.0932019582419423	0.125561161869077	0.613696048908317
ARVCF	0.29691297938055	0.279173518691381	0.342582304030588	0.542532133518048
ASAH1	4.86524377746198	5.63448996605033	5.04073888137329	4.66503329055183
ASL	0.810329518459667	0.527729072022019	0.34812518112176	1.00777092027988
ASLP1	0.101936948100346	0.0613535198512492	0.11296622212176	0.0289042708822277
ASNA1	1.99225198299909	2.26279687823707	1.78567789260543	1.75011734685999
ASNS	2.6013483157531	3.78392671790571	3.7742745042922	2.8703890644138
ASPH	3.29899204526471	2.54911907528142	1.62832757076888	2.523564909039
ASS1	0.926094633504134	0.167236597442498	1.70416000165381	0.148653468778286
ASTN1	0.291810770874706	0.0554262610521867	0.182014076855382	0.516928515091384
ZFHX3	0.856913149597533	1.64707574223612	1.7071390425978	0.899353971587767
ATF1	1.07489704245945	1.58493780148466	1.42409885703106	1.67050394248373
ATF3	1.30558954277447	1.08073033139468	1.45086532591621	1.86115591569793
ATF4	3.70843933471457	4.19274519013402	3.95242831234124	4.34068830460778
ATIC	1.80988429662216	1.78781248070092	1.88050331429984	1.28965407707491
ATM	1.05047539250072	1.4577783040092	1.60989672974458	1.41291647193124
RERE	1.24158517350486	1.4870222827808	1.90002982327987	1.79315142360434
ATOX1	5.28692730026054	4.36060450583702	4.6999847949172	5.01588740353971
ATP1A1	2.17166963674123	2.5305726131998	3.02052855047738	2.7866169623508
ATP1B1	6.18885753294494	5.7686624420113	5.46948546703768	5.05670826281153
ATP1B2	0.4052929542597	1.34973241054823	0.290140656256434	0.987629601201321
ATP1B3	1.72291719577933	1.81466689941651	1.01654147393904	2.1158483321694
ATP1B3P1	0.0517866195990961	0.0536632485343919	0.0273395091149345	0.0892937424480742
FXYD2	4.54044537336568	6.82801200212512	6.65952140121101	9.25100201024967
ATP2A2	1.43203107685049	1.198938923415	1.13836159508218	1.58995324096246
ATP2A3	1.2498109364287	3.04143500834564	1.99071187245072	1.92250753014901
ATP2B1	3.16370320041714	2.3268486234748	2.71252524556963	2.99263689852203
ATP2B4	1.97118370039851	0.960086686557908	1.20592148971312	1.84388005245554
ATP5A1	5.83516592588267	6.2912797973789	6.22450491396009	6.04936319163709
ALDH7A1	1.0015632217196	0.880021159540134	0.978011994202667	1.34388657359911
ATP5A1P2	0.340432231237243	0.373655129941683	0.48137834424754	0.726276225018413
ATP5B	6.69745034907888	6.83976291406346	7.21873320726642	6.62614081582722
ATP5C1	6.3105604120474	6.52882881287998	6.88494611637534	5.93870050518648
ATP5D	1.20480281612281	0.768917394603659	1.08381915884638	1.2003372421311
ATP5E	9.77342723268892	9.35647308771309	9.21472790601034	9.29526001062206
ATP5F1	5.32483841294553	5.42691059944618	4.89205364168842	4.9689163209576
ATP5G1	5.86278496090124	5.11849098765907	5.74816363590485	5.49360461184177
ATP5G2	6.95715744563475	7.24172066399887	7.29693321849766	6.54004291243677
ATP5G3	4.64302796348494	4.44467842409932	4.20392757378899	4.5605298565924
ATP5I	7.80160212618059	7.93074507964213	7.4731524346036	7.76657084412063
ATP5J	6.35132993587442	6.42961807838618	6.2413793252647	6.08760846410943
ATP6V1A	3.47420458503646	4.8625197399823	4.67449950541965	3.79499065759399
ATP6V1B2	4.00290199043796	4.91522665810206	4.86968378527818	4.50274673445514
ATP6V0C	2.75979736343918	2.75116597517743	3.01389350258053	3.40009759566031
ATP6V1C1	2.05472718821712	2.80715999562453	2.46554973758082	2.00944578554601
ATP6V1E1	5.16851491344655	5.83020624761523	5.99570864215129	5.18126216469882
ATP6V0B	6.53773741743325	6.56778028398552	6.47244979022592	6.32287296514092
ATP6V0A1	2.62898133495075	3.1236195931452	2.95489953764927	2.69023231324948
ATP6AP1	3.12316644918209	3.26224147552737	3.11935505447494	4.04773105664351
ATP7A	0.423633507846806	0.714941320461374	0.55816376356552	0.816138825241804
ATP5O	6.28656207989508	6.80520007870044	6.62500169111042	5.83864171878459
ALDH7A1P1	0.0541098384088329	0.0402932768370068	0.0454215814187719	0.0913827238751957
ATR	0.773278988536727	0.889194366921852	1.01740404696144	1.07077568874911
ATRX	3.81789197168211	4.68862825885021	4.99223228852979	4.33775851472348
KIF1A	2.09757507250847	2.36909465781956	2.35726391168521	2.46261574677001
AUH	0.62000986252062	0.672242649624583	0.963890030419249	0.759739692031094
AUP1	1.8078762059165	2.19449536997298	2.26952258819579	2.43704041437437
AXL	0.0236494060965365	0.061149375837084	0.0121662012685415	0.0169712171440958
B2M	12.7132034541129	11.3486017829739	11.8408921429671	12.0176239400478
BACH1	0.457913668000678	0.824686236610503	0.913653592949053	0.762533254432889
BAD	0.845305136489733	0.692526372684174	0.628294375203076	0.958423807223684
BAG1	1.34039468060553	1.24638681434139	1.0802522955674	2.61155831388085
BARD1	0.26995878047776	0.0113405199722109	0.0354271985322476	0.0138923297485542
BAX	2.01711679300365	1.44967882348636	1.31307623310824	1.64364773841622
BBS1	0.285508849507181	0.448118137199421	0.833107052536072	0.3485394023888
BBS2	1.15217273363837	1.56051017068142	1.28675053751703	1.11524718241373
BBS4	1.26449023484605	1.50754840102809	1.48453866284581	1.16048048734186
BCAT1	0.0292969364099646	0.0294555505932469	0.0162446601156924	0.0088771496270525
BCAT2	1.67474869084731	1.89746265047789	1.68894143660294	1.9743047649832
BCHE	0.00763280315800226	0.0927221907299924	4.73561538007573	0.0843676087375501
BCKDHA	1.42807786920644	1.57023498558596	1.29199741969702	1.15837548956009
BCKDHB	0.900368024902141	0.593545351266722	0.680821497116788	0.576611657380485
CCND1	0.0331177339566396	0.751301581974906	0.0375389844453019	0.306650525939558
BCL2L1	0.719533409857257	1.0119514454044	0.867120274139981	0.656763499159656
BCL2L2	0.562955170526211	0.56243027160355	0.796965721719146	0.421736833552387
BCL3	0.400186579745612	0.150497827296865	0.165209928993778	0.53232998693966
BCL6	0.548353533848456	0.547841596794677	0.579353645878219	1.18631458826438
BCL7A	0.423832987047478	0.199035583565588	0.688043698812224	0.299592609118163
NBEAP1	0.117337777207393	0.147102115473955	0.0977803862283153	0.130963044632352
BCL9	0.855265432339335	0.930787217209523	1.18513330699268	1.22479103268482
BCR	0.736117736048595	0.781930681941538	1.24969649263553	0.870250210844564
BCS1L	1.00446216739766	0.951659265064932	0.422012905306224	0.805518422414648
BCYRN1	2.73879407813847	2.10500573700359	2.16869499928468	3.36203928609355
BCYRN1P1	2.7472668511215	2.10134350089321	1.98014731950874	3.52742264590333
BDH1	0.180443664375136	0.175552980045741	0.196888354222078	0.142502567543555
BDKRB2	0.0824400455237769	0.091608722839978	0.0361506667009573	0.0770435483770208
CFB	0.195922456632764	0.12252164778605	0.107240143381617	0.196926884830115
BGLAP	0.260849605835894	0.183915441515862	0.1550865066983	0.144569632194568
BGN	0.025354448578366	0.0158603317900728	0.0060207686765571	0.0245177853028433
CEACAM1	1.14078646401315	0.325694340120985	1.100637262366	1.15750722102939
BICD1	0.31271470060082	0.321563091108625	0.323352047652364	0.307399142299652
BID	0.930666909281678	0.426189730621255	0.724117555809857	0.647294614633548
BIK	0.266845139358262	0.0764798336573775	0.246193025846031	0.288379549232488
PRDM1	0.0411502809360025	0.080215540289532	0.00416358117142629	0.247115370054776
BLMH	0.730317340435037	0.938642371631137	0.559662932752427	1.10202900727455
CXCR5	0.0341105867088472	0.0303890221992869	0.106169064882769	0.0902996119678849
BLVRA	1.89475336999181	1.64538502612121	1.20013421990668	2.16195705410128
BLVRB	2.18699649076987	2.00814714104712	1.93407114711693	1.34807633831366
BMI1	1.2097829615102	2.08191780491023	1.25036866776739	1.46547348986319
BMP1	0.152154056295884	0.0864541019580718	0.0580738051055907	0.202824753180583
BMP2	0.480306985240384	0.100158365921788	0.498796438348329	0.0826420880504068
BMP5	0.187929026709524	4.12885679431962	4.10281248866924	3.2945927145974
BMP6	0.772419910050486	0.721724263664363	0.676087965948412	1.1078571156878
BMPR1A	0.752975095448816	0.954723858273917	0.708840035389902	1.14979996898785
BMPR2	1.0407951996872	1.38755283413072	1.28025381129198	1.29544254787523
POLR3D	0.378526627497451	0.275798250048937	0.851346967111816	0.242179749995649
BNIP1	1.02721230950825	0.7302347132347	0.766467489912598	0.756051092563242
BNIP2	0.827773251303993	0.833119746509267	0.789775763941132	0.616331342741724
BNIP3	4.68839200482757	3.55595646346273	3.35375196568516	2.97354915663289
BNIP3L	3.83641136332562	5.0334343873798	3.43432907303995	4.19883050144329
BOK	0.215818156791348	0.0852585255837449	0.177521475846573	0.150375343464362
DST	2.51761863469771	3.77401680063631	2.91886668050492	3.72200183126124
BPGM	0.677469115994372	1.04260971682266	0.529319898683935	0.619232237062299
BPHL	0.286985094694043	1.14089875240417	0.781052763330464	2.88853600574149
BRCA1	0.121337395243663	0.16728381158267	0.174652353295914	0.00489871776689753
