gene	acinar	beta	delta	ductal	alpha	gamma	endothelial
A1CF	0.746993768875562	0.901903908839443	2.00220749876039	0.377903762028752	2.48309156153172	1.91343977332473	0.190701733052548
AAAS	1.09812675242152	1.11947584238748	1.08246914274534	1.02088204392708	1.12459016255908	0.576489969686925	0.888818833266352
AACS	0.551137171589289	1.75485694896452	1.07038189090701	0.925870512986092	1.45604321461884	1.10968314519938	0.253403897821863
AADAC	3.30057019493592	0.0349067878304417	0.0398651006728587	0.0540060626777448	0.0344462177356201	0	0
AAGAB	0.942618304305536	1.09132886775142	1.10868742879317	1.55777616023445	1.25503570555621	1.3080646598772	0.927057589425684
AAK1	1.33172407741764	1.74158893506235	1.71974503990704	1.84870816223473	2.47518173406239	2.22884857581652	1.06321808985837
AAMDC	0.726948427457824	0.54512291141101	0.480990034931735	0.978018251028246	0.512916640490117	0.812140740473674	1.27132804347405
AAMP	2.28533105880947	1.8545629426818	2.24531604786262	2.48825286645789	2.86595308241419	2.10663833818118	1.92288142070697
AAR2	0.927416069417234	0.66468065048281	0.524768678149751	1.10178500412954	0.807596876145402	0.810143783021616	0.920692716172599
AARS	2.15194175856817	3.45059481639971	2.48954042280315	3.02272072053803	3.2423711578281	2.92405765862305	2.22123303601004
AASDH	0.21469973479651	0.557300105889725	0.554335220424208	0.377262786792357	0.407782706376755	0.343091665548211	0.158660518879931
AASDHPPT	0.634465864325518	1.05547410914361	0.91077669509036	0.845457180560451	0.824816698323544	0.733591680964223	0.881705035523809
AATF	2.10422204553236	1.43792272652871	1.09493954020601	1.86019268521218	1.55942427055846	0.87627363746046	1.55357592464502
AATK	0.334624848312487	0.499643340349333	0.428130802955104	0.212721481806447	0.759220000648766	0.642061595388172	0.167582471089808
ABAT	0.330677374170134	1.32174663666341	1.1440119972139	0.20019519975109	0.581567482610861	1.3359850681851	0.150930524498856
ABCA2	0.0582486427115073	1.44761202097559	1.305891323402	0.496510098371794	0.994871127300682	2.25465310013244	0.190462480760059
ABCA3	0.308025901714198	1.68904164743132	0.760351326557527	0.554920695612852	0.836743438776696	1.3493145938614	0.502031011530138
ABCA5	0.473347954426763	1.62291664522061	1.81287237240211	0.623135436837938	1.01692607340582	1.32792515769341	0.155920795598172
ABCA7	0.10298024531157	0.446859427246274	0.413943834625468	0.248175270371986	0.489795257312694	0.519530051490461	0.0936740209840849
ABCB1	0.107134944884941	0.392266346046967	0.589667278095971	0.901724438669471	1.10335895463632	2.00927003915664	0.257785847589745
ABCC1	0.412421784243888	0.167371436140321	0.633405552170762	0.836605001910068	0.369218083292145	0.300045132716737	0.691414529822232
ABCC3	1.92892473497559	0.0209606204528091	0.0253117267481615	4.01811635197177	0.0515439712381234	0.0294810240703134	0.0338631789905425
ABCC5	0.139770924743843	0.667691023442694	1.23866868330654	0.359340268591325	0.783584430847922	0.814705837927198	0.621150342109838
ABCC8	0.0915827918099238	6.66480788379928	4.5677858263657	0.32726412122676	3.06151332837704	5.00081938916039	0.605645432121758
ABCD3	1.41563123184792	1.58584918727147	2.11748333474325	2.06177585851218	2.41300418744362	1.92336912942209	1.13381297604636
ABCD4	0.384205349584506	0.351263139341978	0.302971499574268	0.680053429699128	0.370520475773723	0.480582153743919	1.05165376458388
ABCE1	1.12360970159583	0.959138283174888	0.663489012645003	0.858463117181705	0.690152158084452	0.408863953786612	1.06861313528566
ABCF1	2.55267589919426	1.70629393837537	1.43071283638596	3.2507042332796	2.21559553354395	1.87381520966398	2.14059036863103
ABCF2	1.46437032887231	0.894122903331393	0.690952407317939	1.07477123720089	0.98352623967869	0.794998703857952	1.09085421482408
ABCF3	0.721554471718256	1.04840623253939	0.84674861824694	1.11603540080996	0.983570090838026	1.28729219808499	0.694011035476345
ABCG1	0.00773300442160179	1.38918384646731	0.413302187198832	0.14469739052034	0.847636871884327	1.16047963192903	1.98518089033247
ABHD11	1.13627275345385	0.467646432283752	0.451145519133421	1.37622126100508	0.610242152958745	0.478204869753359	0.0957683701493994
ABHD12	1.40684420728589	2.95088386758805	2.40618941932934	2.69599269557285	3.15721082021958	2.26221578561846	0.822282933589236
ABHD13	0.312802805543416	0.826224860725601	0.860169770216068	0.783815658040165	0.719304675929416	0.855226518631995	0.78165547598144
ABHD14A	0.193741794724784	0.989938424142112	0.871921133714899	0.338051908701088	1.64279735187096	0.876396151764837	0.389250691716518
ABHD14B	2.71230133026549	2.19290608390949	1.63300162457259	1.87672056002957	2.46709788007494	2.37588131105862	0.904610533368714
ABHD15	0.252964740822197	0.823653091422987	0.217204759553096	0.390455746143029	2.28871721096617	1.43168220680711	0.321751960945842
ABHD17A	2.22561711861421	2.24601952629842	1.96628515813553	2.33008759701766	2.47457616905636	2.29722397638214	3.75458374288623
ABHD2	2.6210460800714	2.15843090169914	2.60378979603722	3.48721139236997	1.85674376874468	2.4320637950935	1.23351171561209
ABHD3	0.678153820606035	1.79077805323471	0.678178793222422	1.58928723205037	0.739452102318294	0.406334862086424	0.481808881152084
ABHD4	0.824366269513776	0.80579330645524	0.67195209865596	2.12378436068453	0.425560089107208	0.587997646223014	0.926736514927438
ABHD5	1.48066358077446	0.525393298708234	0.429916988431566	0.751466662113892	0.603369294564235	0.50568855373806	0.968985339709289
ABHD8	0.237790677754121	0.972380353665294	0.608075581247724	0.746984608353484	0.86731784065715	0.956754777790477	0.396077136225891
ABI1	1.29579212713436	0.904465298773894	0.844774701593454	1.90496707561874	0.910114181788849	0.530258665477408	1.11057213600779
ABI2	0.543944720737938	2.74604861966397	3.32871069885075	1.65292902272273	2.4395598810575	3.01884961214177	1.69325075391096
ABL1	1.4106128718376	1.04011846856334	1.09334041452176	1.94093462840201	1.09094492042122	1.33118297176965	2.23397672356104
ABL2	0.557741883931198	0.709437249185389	0.635165630378564	0.553808289256681	0.606604246746799	0.768015261506984	1.8879184873335
ABLIM2	0.0740528807256978	0.587708763051763	1.31058905630218	0.251200533307952	1.17227025012624	0.917586221680054	0.187362951964853
ABR	0.229606943216875	2.74732517389204	1.95711748849618	1.8192477049677	1.68467884713565	1.48655372285259	0.934650727936094
ABRACL	1.43092122251175	1.39730949803326	0.546981437382425	1.68042661290777	0.333106581001373	0.482001256840125	1.37802922339061
ABT1	1.59612235431661	1.24063722579153	0.937416735295982	1.29529432290469	1.016076407484	0.975229127477867	1.8536320034854
ACAA1	1.76048026033367	1.3273522338807	1.2097695116638	3.23271902299525	1.06573746768446	1.55001240834209	0.788838836479845
ACAA2	2.05654841549433	3.04886916603626	2.53733099041554	4.8418715995997	2.80692236718234	3.23472424278602	1.32854563395437
ACACA	0.395415318498441	0.883966739007797	0.740857141506672	0.522685665568002	0.865781542370568	0.748403961150135	0.364213141006845
ACACB	0.223249058998607	0.684634607959859	0.679859950723766	0.153445388930762	0.503538062804219	0.942463131671678	0.19096950691812
ACAD8	0.435013055609202	0.50105197533122	0.452690112516888	0.619077015405008	0.47690799228123	0.589409196641952	0.300311779207293
ACAD9	1.24663392097385	1.15114490664633	0.936506235229296	1.65624915620066	1.0316363524791	1.13781797947732	1.0539677691726
ACADM	0.848639091460606	1.65130091015515	1.34345050337099	1.44014762031172	0.989271163693975	0.947527937903096	1.16816015497926
ACADS	0.687169404078055	0.609648553229335	0.299307389424451	1.00899115644184	0.460464593261059	0.612390019703982	0.267550458524704
ACADVL	5.77237391306963	3.83553110723363	3.8525741420963	7.55257703775892	4.64706193458754	4.35124463916221	2.47425195239471
ACAP2	0.30751347756526	0.792172584049206	0.967713948836699	0.577029398248756	0.533268095304771	0.412231192202279	0.679343226895447
ACAP3	0.379619293828046	0.765108057697498	0.871880340664473	0.896766684499545	0.924238987263008	1.30340784086747	0.256440304166564
ACAT1	1.81472787983295	2.9034589047022	1.7666961496314	1.1790179686518	1.7780874427659	2.18572788804832	1.5629304013107
ACAT2	0.891785999431917	0.626471560472148	0.66016253115744	1.50584028972539	0.618356691401934	0.416013989779591	0.56332403580756
ACBD3	1.91421481684458	2.49201415566868	2.47945326298449	2.38443857079246	2.33701945368059	2.07106998022778	1.59046446797985
ACBD5	0.557036489909169	1.1126273218613	0.660812034403104	1.25208752223525	0.746156886209278	0.678745669053776	0.727812740266387
ACBD6	0.884788995823768	1.04364621774167	0.81918090830796	0.983127072470791	1.16586970988625	1.02034295411731	1.02498052866832
ACD	0.457027372390742	0.681816204083235	0.566258787517327	0.665030277458238	0.701877202529569	0.793684374458855	0.356542541616109
ACHE	1.95478177529275	0.196767206791961	0.0885791801125797	0.734128177941835	0.284496714906629	1.5014816297466	0.124164728080633
ACIN1	1.52635232188677	1.75732335080908	1.49765356970207	2.31522371339439	2.12699465542269	1.39788420011918	1.597937611791
ACLY	1.68110061173171	4.75599442601303	3.19178103701861	2.81017265184525	4.36144315327899	5.06617312048044	2.72669524812787
ACO1	1.41674352893836	0.871139951527568	0.763473182099318	1.14413834076487	0.6247296507658	0.857670850341899	0.951184603451207
ACO2	1.65107381720375	1.88505435750955	1.3419475433583	2.70705187535624	1.9871938762039	1.44630468899649	1.63172110629501
ACOT13	0.72765026917251	1.98440984080361	1.2883778738898	0.656453366161289	1.65747273782202	1.46105350514702	0.54578657992394
