Gene	C2_CM	C1_5W	C8_Macrophage	C4_EC	C3_Fibroblast.like.cell	C5_Valvar.cell	C9_B.T.cells	C7_Mast.cell	C6_EP
A1BG	0.137648002100903	0.159781893963181	0.461008761387506	0.107491258516621	0.166244603842604	0.895947648271833	0.660675660592181	1.12427916972699	0.422280342230774
A2M	1.60931644889728	0.574437572513948	4.70363219865512	2.09683824239342	1.20112454303137	0.655954423695378	2.83777688903906	2.15900650624186	1.00131819032494
A4GALT	1.21617324898228	1.72823459615765	0.66817424046724	0.831703632552465	0.513416130462805	0.427279121860275	0.668152612007139	0.811042297061166	0
AAAS	2.06601897545419	4.75016519064999	1.76458460084695	2.66750356349944	2.48593711272232	2.00047623752158	2.11009727272316	1.12531831088401	1.3583727337031
AACS	0.831547304802572	2.14556464270822	0.43776066913609	0.596340880875075	0.634187976416323	0.621885504981439	0.932138192705068	0.667451105573033	1.00755022334543
AADAT	0.400147415182158	0.795104977991335	0.235018031250977	0.519719868672221	0.647741516177977	0.676540952994583	0.0405355278657165	0.246310257835954	0.530768953379848
AAED1	0.438621653041088	1.75953968515018	0.530371388013727	0.595148033339414	0.407358729902329	1.31507176714214	0.382143964303192	1.56409509602579	0.80473687827583
AAGAB	0.794741920977143	3.02152046673168	1.14627509228901	1.55871867001341	0.984229604096337	1.23796656976663	1.28487293280503	0.668371970910011	0.924360249212435
AAK1	3.34753182369013	4.55038715004419	4.19949459350739	5.57232508983174	3.71467281411469	4.13955054980456	5.09007843074713	3.67932752712346	3.11006692330699
AAMDC	4.39320591212235	6.24578506733931	2.78848244241501	5.37223599938222	3.33184402184821	4.28011329552993	2.45212686183656	3.41636826092506	5.88386687248515
AAMP	2.88424612481696	5.65627879285039	3.0950317184011	4.06218618475533	3.75156850691191	3.48191268728205	2.92598759614009	3.18029771621775	3.19888680046607
AAR2	0.792351211220257	2.63153007260566	1.00713484043353	1.63045776956267	1.58765658548695	1.54419269369571	0.829124948603803	0.227766012493862	1.53811787321328
AARD	0.22463909281158	0.261873755491287	0.140642737775379	0.275177723308017	0.281581547494711	0.32375433372874	0	0.34844971093779	0.0809756396978444
AARS	1.49747052602231	2.65623187301066	1.46491479178252	2.07881792162491	2.16012430259879	2.0071371334944	1.81890291024949	1.69636187707681	1.94584794007257
AARS2	1.09271773226578	1.41953163975949	1.18933807589312	1.22510624454851	1.10704122563857	1.09574960645254	1.7819947458323	1.00670914193001	1.34955570515254
AASDH	0.77692937011592	1.55160083909821	1.01646351737287	1.16551910679654	1.1881523604863	1.63721470023995	0.736249662455205	0.730945914995574	0.731481954879993
AASDHPPT	2.57995305361641	5.78781988026885	1.95085610973443	3.36185554684181	3.00918779659628	2.87595608655483	2.31598388400063	1.44564639856051	2.13954086400702
AASS	3.13294379731798	3.39551473919205	2.70267275142754	3.29096499525579	3.22889663256072	3.49373495187632	2.16241489604884	3.52413240411238	3.21686583984706
AATF	1.07882049153061	3.13217438269858	1.84536746854262	1.37118540683574	1.32192170176026	1.1142592638127	1.39188516321105	0.693338857744321	1.92925864283369
ABAT	0.957450243782417	1.91138055765213	0.720356429637752	0.481807591496675	0.756069240946095	0.46705679766857	0.800760176042963	1.44732888966433	1.01704520862356
ABCA1	1.28815761744375	1.7641889650261	3.17742288851679	1.80763436998328	2.78976661280594	2.46462774785474	1.02985340079587	1.58105019751935	1.89075184918551
ABCA10	0.469494365319051	0.0782645945841194	0.645017216971904	0.425063390315481	1.86966295330262	0.238062545519773	0.510750982893102	0.468035625354103	0.163096926164299
ABCA11P	0.242424771273687	1.04311094123356	0.39015546777199	0.758845184511783	0.408417325241661	0.280580097720643	0.637672281238666	0.114025474867405	0.202668653228705
ABCA13	0.881655326696528	0.131400899811664	1.01257162130738	0.432690009993231	0.428263520931503	0.554824128925339	0.921899029349699	1.08819615646721	0.467493560721846
ABCA2	0.389880088442903	0.417536647092526	0.36398400072899	0.694168690235597	0.723375967515754	0.928030181372427	0.910635967879129	0.345955897561675	0.152972653716259
ABCA3	0.30694563092282	0.153658328202293	0.153865044235326	0.446141272198115	0.297632866523734	0.447129490176937	0.300745816628135	0	0.180074638881968
ABCA5	0.97941046323251	0.48795121796223	0.935274151674276	0.838823309588464	0.555071239887183	0.886306715837894	0.767500691363749	1.27731372365054	1.32291463472798
ABCA6	0.661522760183679	0.018181182053572	0.816279740613211	0.325447047623795	2.67810402180616	0.142288656179599	0.630043691288525	0.29896633820994	0.730709849541067
ABCA7	0.532948763652981	2.1405329881225	1.75493548771434	0.36186684417334	0.238803200176252	0.309384446433477	0.616238880225796	2.66364262735573	0.49068885068307
ABCA8	1.81794326743258	1.15206713503107	1.95570494555911	4.08180645804831	5.4913562292153	3.37213056067077	1.65348270906966	1.3906426448576	3.0286398814803
ABCA9	0.825571268002097	0.0933714540070996	0.954050203382233	0.638294257548155	3.21549897910477	0.712794499554551	0.334628646003546	0.217640754967243	0.515181141714069
ABCB10	0.782931994409666	0.789581719184437	1.16772249921581	0.918757606672428	0.777393006037177	0.930384712206317	0.893851123739529	0.94501067490834	0.604659965662337
ABCB4	0.70954197202808	0.309071134138966	0.645029305286764	0.279536909023124	0.221393247642478	0.235848401995054	0.441755569382554	0.2531662770346	0.256842469725681
ABCB6	0.704370040267463	0.978616834455455	0.693200003809706	1.29914668097999	1.3155267857078	1.2691329451102	0.447523010218565	0.235007022710522	1.37947724205922
ABCB7	1.14988595347383	1.70498676509382	1.42316767756884	1.46772564583204	1.00643752939863	1.15711804947942	1.16868675760888	1.62578647265713	1.0645974891811
ABCB8	0.465035744287693	1.26638957584304	0.606966613462276	0.732015796266171	0.610431570623851	0.665976957082742	0.547207196696831	0.21911321259402	0.970718206941485
ABCC1	0.675213047050185	0.881560980160204	1.42768717825762	1.29099861397084	0.586092708405228	0.956289423153439	1.21504311175635	2.24904843388896	0.828935069498589
ABCC10	0.296360441126343	0.902251140806641	0.411193758960502	0.579978186753181	0.417355863904399	0.474564670541011	0.225531443217217	0.273581560628892	0.656673654937744
