trait	panel	cell	adjust	raw	size	tag
AUD	DER22	Astro	-21.5170538630199	21.5170538630199	98	DER22_Astro
AUD	DER22	Ex1	-10.7298360711668	10.7298360711668	98	DER22_Ex1
AUD	DER22	Ex2	-6.88932218592809	6.88932218592809	98	DER22_Ex2
AUD	DER22	Ex4	-10.9090001763716	10.9090001763716	98	DER22_Ex4
AUD	DER22	Ex5b	-6.43688040260817	6.43688040260817	98	DER22_Ex5b
AUD	DER22	Ex6a	-8.03314264167533	8.03314264167533	98	DER22_Ex6a
AUD	DER22	In1a	-15.0612338169161	15.0612338169161	98	DER22_In1a
AUD	DER22	In1b	-9.03303116184683	9.03303116184683	98	DER22_In1b
AUD	DER22	In1c	-16.3704206368721	16.3704206368721	98	DER22_In1c
AUD	DER22	In3	-21.0955236717906	21.0955236717906	98	DER22_In3
AUD	DER22	In4a	-19.5083898733432	19.5083898733432	98	DER22_In4a
AUD	DER22	In4b	-24.2269228097275	24.2269228097275	98	DER22_In4b
AUD	DER22	In6a	-6.36076337476274	6.36076337476274	98	DER22_In6a
AUD	DER22	In7	-24.2550207721234	24.2550207721234	98	DER22_In7
AUD	DER22	In8	-6.68151347361011	6.68151347361011	98	DER22_In8
AUD	DER22	Microglia	-6.7934671434815	6.7934671434815	98	DER22_Microglia
AUD	DER22	OPC	-20.0662893213333	20.0662893213333	98	DER22_OPC
AUD	DER22	Per	-13.6416798242901	13.6416798242901	98	DER22_Per
ALZ	DER22	Microglia	-9.39456098295175	9.39456098295175	98	DER22_Microglia
ALS	DER22	Ex9	-11.9553017580478	11.9553017580478	98	DER22_Ex9
ANEU	DER22	Ex2	-7.34302812639714	7.34302812639714	98	DER22_Ex2
ANEU	DER22	Ex4	-10.1177779424278	10.1177779424278	98	DER22_Ex4
ANEU	DER22	Ex5b	-13.0794569022239	13.0794569022239	98	DER22_Ex5b
ANEU	DER22	Ex8	-11.7252057270258	11.7252057270258	98	DER22_Ex8
ANEU	DER22	In1a	-11.286941777953	11.286941777953	98	DER22_In1a
ANEU	DER22	In1b	-7.1831149421937	7.1831149421937	98	DER22_In1b
ANEU	DER22	In1c	-7.68498298730929	7.68498298730929	98	DER22_In1c
ANEU	DER22	In4a	-8.44608156833779	8.44608156833779	98	DER22_In4a
ANEU	DER22	In6b	-8.00831042914094	8.00831042914094	98	DER22_In6b
ANEU	DER22	In7	-6.89405073991383	6.89405073991383	98	DER22_In7
ANEU	DER22	In8	-10.6520059128151	10.6520059128151	98	DER22_In8
ANEU	DER22	OPC	-5.88859853053193	5.88859853053193	98	DER22_OPC
ANEU	DER22	Per	-6.87304186299149	6.87304186299149	98	DER22_Per
Asthma	DER22	Astro	-17.9947912870924	17.9947912870924	98	DER22_Astro
Asthma	DER22	In4b	-7.90237714268764	7.90237714268764	98	DER22_In4b
Asthma	DER22	In6a	-8.05113536741834	8.05113536741834	98	DER22_In6a
Asthma	DER22	In7	-5.0114194929406	5.0114194929406	98	DER22_In7
Asthma	DER22	Microglia	-16.2559694655143	16.2559694655143	98	DER22_Microglia
Asthma	DER22	OPC	-11.0151023089291	11.0151023089291	98	DER22_OPC
Asthma	DER22	Per	-9.48938231044445	9.48938231044445	98	DER22_Per
ADHD	DER22	Astro	-9.53936326516629	9.53936326516629	98	DER22_Astro
ADHD	DER22	Endo	-16.3796345184764	16.3796345184764	98	DER22_Endo
ADHD	DER22	Ex1	-11.3711179186006	11.3711179186006	98	DER22_Ex1
ADHD	DER22	Ex2	-15.174811856469	15.174811856469	98	DER22_Ex2
ADHD	DER22	Ex3e	-11.4868926391149	11.4868926391149	98	DER22_Ex3e
