Gene	Trait	CellType	Tissue
ATP6V1A:AUTS2:BRINP1:CADM2:CALM1:CSRNP3:MAPK1:MSI2:NASP:NCAM1:NF1:NFIA:NKAIN3:PARD3:PDE4B:PLCB1:POU2F1:PRKAR2A:RERE:RORA:SOX5:SOX6:TCF4	Alcohol-Use-Disorder_Kranzler_2019	Astro	DER22
AUTS2:BRINP1:CADM2:DGKZ:DNM3:DOC2A:JAZF1:NCAM1:NF1:PEX5L:PLCB1:POU2F1:PRKCB:RBFOX1:RERE:SEMA6D:TCF4:THRB	Alcohol-Use-Disorder_Kranzler_2019	Ex1	DER22
AUTS2:BRINP1:CADM2:CALM1:DNM3:NF1:PDE4B:PEX5L:PLCB1:RBFOX1:RERE:SEMA6D:TCF4:THRB	Alcohol-Use-Disorder_Kranzler_2019	Ex2	DER22
ATP2B1:ATP6V1A:AUTS2:BRINP1:CADM2:DCC:DGKZ:DNM3:EIF4E:JAZF1:NCAM1:NF1:PEX5L:PLCB1:PRKCB:PRKCZ:RBFOX1:RERE:RPGRIP1L:SEMA6D:TCF4:THRB	Alcohol-Use-Disorder_Kranzler_2019	Ex4	DER22
BRINP1:CADM2:CSRNP3:DCLK1:DGKZ:KCNIP4:NF1:NFIA:PEX5L:PLCB1:POU2F1:RBFOX1:RBM25:RERE:STARD13:TCF4	Alcohol-Use-Disorder_Kranzler_2019	Ex5b	DER22
ATP2B1:AUTS2:CADM2:DCC:DCLK1:DNM3:EIF4E:JAZF1:NCAM1:NF1:NKAIN3:PEX5L:PLCB1:PRKCZ:RERE:SCN2A:STARD13:TCF4:THRB	Alcohol-Use-Disorder_Kranzler_2019	Ex6a	DER22
AK5:ATP6V1A:AUTS2:CADM2:CALM1:CAMTA1:CSRNP3:DNM3:EIF4E:GRIK2:HMG20A:MAPK1:MSI2:NF1:NKAIN3:PARD3:PDE4B:PLCB1:POU2F1:PRKCZ:RERE:SCN2A:SEMA6D:TCF4:THRB	Alcohol-Use-Disorder_Kranzler_2019	In1a	DER22
AUTS2:CADM2:CALM1:CSRNP3:DNM3:EIF4E:MAPK1:MSI2:NF1:NKAIN3:PARD3:PDE4B:PEX5L:PLCB1:POU2F1:RERE:SCN2A:SEMA6D:TCF4:THRB	Alcohol-Use-Disorder_Kranzler_2019	In1b	DER22
ATP6V1A:AUTS2:BRINP1:CADM2:CALM1:CAMK2G:DNM3:DOC2A:MAPK1:NF1:NKAIN3:PARD3:PDE4B:PEX5L:PLCB1:POU2F1:RBFOX1:RERE:SCN2A:SEMA6D:SLC4A8:TCF4:THRB	Alcohol-Use-Disorder_Kranzler_2019	In1c	DER22
AGAP1:AK5:ATP6V1A:AUTS2:BRINP1:CADM2:CALM1:CAMTA1:CDH13:CSRNP3:DCLK1:EIF4E:GABBR2:GRIK2:HDAC4:MAPK1:MSI2:MTCH2:NALCN:NCAM1:NF1:NKAIN3:NSF:PARD3:PDE4B:PEX5L:PLCB1:POU2F1:PRKCZ:RBFOX1:RERE:RORA:SCN2A:SLC24A3:SLC4A8:STARD13:TCF4:ZBTB16	Alcohol-Use-Disorder_Kranzler_2019	In3	DER22
AUTS2:CADM2:CALM1:CSRNP3:DCLK1:DNM3:ESRRG:FNBP4:FTO:GABARAPL2:GRIK2:JAZF1:KCNIP4:MAPK1:MSI2:NCAM1:NF1:PARD3:PDE4B:PEX5L:PLCB1:POU2F1:PRKCZ:RBFOX1:RERE:SEMA6D:TCF4:THRB	Alcohol-Use-Disorder_Kranzler_2019	In4a	DER22
ATF2:ATP6V1A:AUTS2:BRINP1:CADM2:CAMK2G:CDH13:CSRNP3:DCLK1:ESRRG:GABBR2:GRIK2:JAZF1:KCNIP4:MSI2:MYO16:NCAM1:NEGR1:NF1:NFIA:NKAIN3:PARD3:PEX5L:PLCB1:POU2F1:PPP1CC:PRKCB:RBFOX1:RBM25:RERE:SCN1A:SCN2A:SEMA6D:TCF4:TSPAN5	Alcohol-Use-Disorder_Kranzler_2019	In4b	DER22
AUTS2:BRINP1:CADM2:CSRNP3:DNM3:NCAM1:NF1:PARD3:PLCB1:POU2F1:PRKAR2A:RBFOX1:RERE:TCF4:THRB	Alcohol-Use-Disorder_Kranzler_2019	In6a	DER22
AUTS2:BRINP1:CADM2:CALM1:CAMTA1:CDH13:CSRNP3:DNM3:EIF4E:FNBP4:FTO:GABBR2:GOT1:GRIK2:JAZF1:KCNIP4:KSR2:MAPK1:MTCH2:NCAM1:NF1:NREP:NSF:PARD3:PDE4B:PEX5L:PLCB1:POU2F1:PRKAR2A:PRKCZ:PRNP:RBFOX1:RERE:RSRC1:SYT11:TCF4:THRB:TSPAN5	Alcohol-Use-Disorder_Kranzler_2019	In7	DER22
AUTS2:BRINP1:CADM2:CALM1:DNM3:EIF4E:GRIK2:MAPK1:NF1:PDE4B:PEX5L:PLCB1:PRKCZ:RBFOX1:RERE:RSRC1:TCF4:THRB	Alcohol-Use-Disorder_Kranzler_2019	In8	DER22
AUTS2:CADM2:CALM1:MAPK1:NKAIN3:PDE4B:PLCB1:RERE:RSRC1:SCN2A:TCF4	Alcohol-Use-Disorder_Kranzler_2019	Microglia	DER22
BRINP1:CADM2:CALM1:CAMK2G:CAMTA1:CDH13:CDK19:CSMD3:CSRNP3:DCC:FAM49B:GRIK2:JAZF1:LRP1:MAPK1:MSI2:NCAM1:NF1:NKAIN3:PARD3:PDE4B:PDZRN4:PEX5L:PLCB1:POU2F1:RBFOX1:RERE:SCN2A:SLC24A3:SOX5:SOX6:TCF4:YWHAG:ZHX2	Alcohol-Use-Disorder_Kranzler_2019	OPC	DER22
AFF4:AUTS2:BRINP1:CADM2:CALM1:DCLK1:DNM3:HDAC4:MAPK1:MSI2:NF1:PARD3:PDE4B:PEX5L:PIAS4:PLCB1:POU2F1:PRKG1:RBFOX1:RERE:RORA:SOX5:STARD13:TCF4:THRB:TPM1:UBTF	Alcohol-Use-Disorder_Kranzler_2019	Per	DER22
